ID,TARGET
2,0.0416513048112
5,0.0747514888644
6,0.00353177590296
7,0.0117771709338
9,0.00241577392444
11,0.253899335861
12,0.00936075299978
15,0.222221970558
16,0.0424236580729
17,0.02039106749
19,0.0202589817345
21,0.00355681753717
22,0.0197839662433
24,0.00971073284745
27,0.0105784963816
28,0.011619810015
30,0.0913689807057
33,0.0033188231755
35,0.0142703587189
37,0.0191990565509
38,0.0206151921302
40,0.188155472279
41,0.0125478450209
44,0.0121745457873
46,0.114485308528
47,0.00550489732996
48,0.0033188231755
50,0.00504872808233
52,0.145857036114
53,0.00501813739538
55,0.0206566601992
57,0.00282929767855
58,0.00606674235314
59,0.00886159576476
62,0.0274610556662
63,0.0118354354054
64,0.0214588865638
65,0.0227243639529
67,0.0154503034428
69,0.0915594100952
70,0.00233812164515
71,0.0113543355837
72,0.00154988968279
73,0.00186872540507
76,0.00398150226101
78,0.00441128807142
79,0.0575977154076
81,0.00179145240691
85,0.0113138817251
86,0.0033188231755
89,0.035965602845
94,0.102240785956
96,0.0033188231755
97,0.0183248128742
98,0.00421141460538
99,0.0110607109964
100,0.185013413429
103,0.0932132005692
104,0.00372809148394
108,0.00925213750452
110,0.00268801860511
112,0.0302017424256
114,0.019046979025
116,0.0336698070168
117,0.00713595468551
119,0.00627453019843
120,0.00323652639054
121,0.00131344865076
123,0.0287379063666
124,0.035965602845
126,0.0026001452934
128,0.0135870566592
129,0.0896978750825
133,0.0308923050761
138,0.0224158838391
147,0.0139486454427
149,0.0587528832257
158,0.0033188231755
160,0.0071226763539
164,0.0542491078377
167,0.0707339569926
168,0.03687351197
174,0.0105399359018
181,0.0361621417105
185,0.0382515862584
187,0.0171449258924
189,0.00619668047875
190,0.0695405602455
194,0.011724980548
197,0.0195634253323
198,0.0252781156451
201,0.0238650534302
205,0.00702973315492
208,0.0744057223201
211,0.0232127048075
216,0.0367117412388
219,0.0403032749891
223,0.00250963284634
224,0.127068340778
226,0.00960590410978
229,0.00783575233072
230,0.0214395225048
